epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,787.587,2.15563,3.67701,1.98811,0.20269,0.20636,0.12969,0.04952,2.30865,3.67599,2.18239,0.000332454,0.000332454,0.000332454
2,1524.26,2.10441,3.02782,1.90399,0.36624,0.24088,0.213,0.08559,2.1139,2.93943,1.96875,0.000652605,0.000652605,0.000652605
3,2256.92,2.09912,2.76659,1.91239,0.2797,0.26179,0.19618,0.07434,2.1521,2.80995,2.00305,0.000959555,0.000959555,0.000959555
4,2982.14,2.08102,2.65679,1.89693,0.27342,0.24504,0.19337,0.07866,2.18722,2.66419,2.04136,0.0009406,0.0009406,0.0009406
5,3706.51,2.04058,2.53513,1.86971,0.37388,0.31104,0.26303,0.10762,2.0874,2.53393,1.9792,0.0009208,0.0009208,0.0009208
6,4431.47,2.04317,2.50695,1.83911,0.45452,0.30457,0.29243,0.11953,2.06469,2.4788,1.94174,0.000901,0.000901,0.000901
7,5155.76,1.98105,2.42685,1.83401,0.36885,0.35195,0.30634,0.1191,2.01476,2.40787,1.96818,0.0008812,0.0008812,0.0008812
8,5880.22,1.99697,2.38634,1.81656,0.42562,0.33163,0.31951,0.13889,2.01793,2.33666,1.90158,0.0008614,0.0008614,0.0008614
9,6602.69,1.96328,2.3693,1.79056,0.40582,0.33659,0.31053,0.13277,1.99034,2.41213,1.90796,0.0008416,0.0008416,0.0008416
10,7330.52,1.95217,2.32446,1.77966,0.40375,0.33874,0.31725,0.13956,1.97513,2.32845,1.92552,0.0008218,0.0008218,0.0008218
11,8055.76,1.93906,2.27565,1.77018,0.4231,0.34508,0.32862,0.14343,2.00957,2.28809,1.91821,0.000802,0.000802,0.000802
12,8798.56,1.9248,2.24856,1.77348,0.44115,0.34934,0.35502,0.15102,2.01645,2.24772,1.91283,0.0007822,0.0007822,0.0007822
13,9528.24,1.90704,2.23589,1.7677,0.47565,0.39506,0.3927,0.17026,1.94516,2.23895,1.8469,0.0007624,0.0007624,0.0007624
14,10259.1,1.88988,2.17529,1.73861,0.48368,0.39665,0.3911,0.17584,1.95612,2.11324,1.84664,0.0007426,0.0007426,0.0007426
15,10990.8,1.8929,2.163,1.73105,0.47911,0.39335,0.38952,0.17426,1.94245,2.11581,1.86054,0.0007228,0.0007228,0.0007228
16,11707.3,1.86704,2.13822,1.71713,0.49653,0.3654,0.37885,0.1715,1.90673,2.11575,1.84205,0.000703,0.000703,0.000703
17,12423.5,1.86641,2.14021,1.71549,0.48183,0.39748,0.3808,0.16785,1.93358,2.09227,1.84199,0.0006832,0.0006832,0.0006832
18,13137.2,1.85695,2.09052,1.71256,0.4913,0.40426,0.40525,0.17663,1.93696,2.0952,1.84402,0.0006634,0.0006634,0.0006634
19,13859.6,1.85383,2.0887,1.69854,0.4893,0.42246,0.42632,0.18517,1.93207,2.03517,1.83765,0.0006436,0.0006436,0.0006436
20,14584.3,1.84125,2.06233,1.69071,0.50182,0.42375,0.42279,0.18046,1.91058,2.04021,1.79446,0.0006238,0.0006238,0.0006238
21,15309.9,1.82838,2.02546,1.69208,0.5124,0.41174,0.42285,0.18513,1.91217,2.02841,1.82044,0.000604,0.000604,0.000604
22,16031.7,1.81788,2.02188,1.67835,0.50011,0.43876,0.43996,0.19713,1.90865,1.98875,1.8018,0.0005842,0.0005842,0.0005842
23,16758.3,1.83029,2.02261,1.67689,0.49717,0.42347,0.4409,0.19692,1.91741,1.97869,1.83397,0.0005644,0.0005644,0.0005644
24,17475.3,1.80812,1.96796,1.65964,0.52996,0.4208,0.44098,0.19833,1.93173,1.977,1.82387,0.0005446,0.0005446,0.0005446
25,18197.5,1.7962,1.95895,1.67704,0.48871,0.44967,0.43142,0.18858,1.90824,1.99559,1.7961,0.0005248,0.0005248,0.0005248
26,18923.9,1.79662,1.94918,1.65528,0.52768,0.43596,0.45633,0.1994,1.91843,1.98306,1.80757,0.000505,0.000505,0.000505
